,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Quiltgranny's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
1413,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Uncommon Reader,"Bennett, Alan",0374280967,9780374280963,0374280967,120        pp,3.74,"53,676",2007,"Sep 18, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A sweet little novella about the possibilities that reading creates for thought and contemplation, for the slow, deliberate, considered reflection on A sweet little novella about the possibilities that reading creates for thought and contemplation, for the slow, deliberate, considered reflection on the world and our position within it, which is no longer encouraged. ""When the Queen, in pursuit of her wandering corgis, stumbles upon a mobile library she feels duty bound to borrow a book. Aided by Norman, a young man from the palace kitchen who frequents the library, Bennett describes the Queen’s transformation as she discovers the liberating pleasures of the written word.""There are laugh out loud moments in these short 160 pages, too. When the Queen loses all interest in her duties, those who govern her life start to get involved. Books are hidden and lost in transit, Norman (her page for books) is transferred to University because he introduced her to gay writers. Concerns are even expressed that the Queen may be developing Alzheimer’s Disease: ‘Thus it was that the dawn of sensibility was mistaken for the onset of senility.’This is a nice little book for people who love to read. I can imagine anyone reading it would find themselves nodding their heads in agreement with the Queen's thoughts about reading....more",Notes are private!,0,0,1,"Jan 18, 2010","Jan 19, 2010","Apr 08, 2009",,Hardcover,view (with text),/book/show/1096390.The_Uncommon_Reader
1414,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Used World,"Kimmel, Haven",0743247787,9780743247788,0743247787,320        pp,3.63,"1,559","Aug 28, 2007","Sep 18, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Some people didn't like this book because of the way the protagonists (of which there are three) slip from the present world into a memory of the pastSome people didn't like this book because of the way the protagonists (of which there are three) slip from the present world into a memory of the past or ""what could be"" - it works for me quite nicely. At times, I was a bit confused, but that was because I wasn't paying attention at the time, and I easily sorted it out.Some people didn't like the fact that Haven Kimmel uses ""big words"". I didn't notice them until I read that , and I thought, hmmmm, maybe ""I"" use big words. At any rate, whatever words Ms. Kimmel crafted were appropriate and pertinent to the story line, as well as the person using them.I have to admit that I slimmed some of the theological conversations - just enough to get the drift of the reason they were there. Actually, the ending surprised me quite a bit, which most novels don't accomplish. I had no idea a mystery was going to be solved and the threads that hold these three people together are twined together well.Quite nice - quite nice indeed....more",Notes are private!,0,1,1,not set,May 2009,"Apr 08, 2009",,Hardcover,view (with text),/book/show/15173.The_Used_World
1415,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman Who Walked to Russia: A Writer's Search for a Lost Legend,"Pybus, Cassandra",1568582900,9781568582900,1568582900,256        pp,2.71,102,2001,"Dec 15, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2009",,Paperback,view,/book/show/711141.The_Woman_Who_Walked_to_Russia
1416,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Treasure in a Cornfield: The Discovery & Excavation of the Steamboat Arabia,"Hawley, Greg",0965761258,9780965761253,0965761258,224        pp,4.10,118,"Apr 01, 1998","Jan 01, 1998",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I actually skimmed this book since we have been to the Arabia exhibit several times. It's a great reference book with nice pictures, too.I actually skimmed this book since we have been to the Arabia exhibit several times. It's a great reference book with nice pictures, too....more",Notes are private!,0,0,1,not set,"Jun 18, 2009","Apr 08, 2009",,Hardcover,view (with text),/book/show/1647733.Treasure_in_a_Cornfield
1417,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Keeping Faith,"Picoult, Jodi*",0060878061,9780060878061,0060878061,422        pp,3.81,"85,528",unknown,"Feb 21, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not as good as My Sister's Keeper, and somewhat tedious at times, this was a decent, thought provoking book.Not as good as My Sister's Keeper, and somewhat tedious at times, this was a decent, thought provoking book....more",Notes are private!,0,0,1,not set,not set,"Apr 08, 2009",,Paperback,view (with text),/book/show/10913.Keeping_Faith
1418,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tales of a Female Nomad: Living at Large in the World,"Gelman, Rita Golden",0609809547,9780609809549,0609809547,312        pp,3.84,"16,984","May 22, 2001","May 28, 2002",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"No! Absolutely NOT! I will not continue to waste my time with this woman who completely missed the point of her ""nomadic life"" with other cultures. AnNo! Absolutely NOT! I will not continue to waste my time with this woman who completely missed the point of her ""nomadic life"" with other cultures. Another er remarked, ""This is one of those memoirs that is all about ME. I did this, and then I did that, and then I did this. And that might be okay, if not for the fact that everyone is Gelman's book is infinitely more interesting than she. It's like being stuck on a tour bus with a chatty guide who is more interested in telling you about her experiences than anything you're seeing. Meanwhile, all the sights go streaming by.Gelman is the ultimate unreliable narrator -- she's kind of pushy, obnoxious, and self-centered, but thinks of herself as being interested only in the welfare of others. While this could be put to good use in a piece of fiction, in a memoir it is merely tiresome.""I couldn't have said it better! I should have given up on the book well before I did....more",Notes are private!,0,26,1,not set,"May 04, 2009","Apr 08, 2009",,Paperback,view (with text),/book/show/85622.Tales_of_a_Female_Nomad
1419,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Don't Stop the Carnival,"Wouk, Herman",0316955124,9780316955126,0316955124,416        pp,3.92,"3,579",1965,"May 15, 1992",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Paperback,view,/book/show/42988.Don_t_Stop_the_Carnival
1420,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,River-Horse,"Heat-Moon, William Least",0140298606,9780140298604,B001RX6WXI,502        pp,3.92,"2,146","Jan 01, 1999","Jan 01, 1999",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Paperback,view,/book/show/58957.River_Horse
1421,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blue Highways,"Heat-Moon, William Least",,,,428        pp,4.03,"24,033",1982,"Oct 19, 1999",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Paperback,view,/book/show/63832.Blue_Highways
1422,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Saving Fish from Drowning,"Tan, Amy*",034546401X,9780345464019,034546401X,472        pp,3.46,"32,067",2005,"Sep 26, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2009",,Paperback,view,/book/show/9503.Saving_Fish_from_Drowning
